CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
TX-504,116,95,87,0.916,76,40,0,16,50,66,76,55,47,0.855,50,68,10,20,56,40,40,40,40,1,6,30,10,0,0,0,0,0.0,0,42,42,42,42,1.0,21,4,8,34
TX-600,4288,3743,1141,0.305,2262,1981,45,491,1560,2728,2262,1961,125,0.064,0,180,171,585,1677,1981,1981,1737,971,0.559,320,975,1006,45,45,45,45,1.0,45,1222,1222,1222,947,0.775,574,89,212,1010
TX-601,2326,1910,1910,1,1333,973,20,366,1140,1186,1333,1159,1159,1,0,91,85,398,935,973,973,731,731,1,281,742,231,20,20,20,20,1.0,20,1572,1572,1572,1382,0.879,558,280,695,877
TX-603,1280,1176,998,0.849,744,516,20,143,569,711,744,655,584,0.892,0,79,48,240,504,516,516,501,394,0.786,95,329,187,20,20,20,20,1.0,20,170,170,170,135,0.794,78,3,6,164
TX-604,284,211,195,0.924,102,166,16,33,134,150,102,47,47,1,0,33,13,46,56,166,166,148,148,1,20,88,78,16,16,16,0,0.0,16,54,54,54,19,0.352,12,1,4,50
TX-607,3820,2295,1234,0.538,3022,798,0,596,2136,1684,3022,1635,728,0.445,51,368,427,1626,1396,798,798,660,506,0.767,169,510,288,0,0,0,0,0.0,0,52,52,52,52,1.0,28,11,24,28
TX-610,87,63,34,0.54,53,34,0,17,58,29,53,29,0,0,0,26,7,24,29,34,34,34,34,1,10,34,0,0,0,0,0,0.0,0,48,48,48,48,1.0,0,4,12,36
TX-611,647,627,627,1,573,74,0,59,215,432,573,553,553,1,2,17,36,144,429,74,74,74,74,1,23,71,3,0,0,0,0,0.0,0,57,57,57,57,1.0,24,3,12,45
TX-624,275,238,0,0,275,0,0,25,90,185,275,238,0,0,0,13,25,90,185,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
TX-700,4088,3337,2078,0.623,1392,2676,20,449,1554,2534,1392,1083,700,0.646,0,175,147,546,846,2676,2676,2234,1358,0.608,302,1008,1668,20,20,20,20,1.0,20,1729,1729,1503,1382,0.919,350,257,851,878
TX-701,302,302,237,0.785,213,89,0,47,105,197,213,213,148,0.695,0,9,27,65,148,89,89,89,89,1,20,40,49,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
TX-702,303,160,62,0.388,182,121,0,58,207,96,182,120,24,0.2,0,0,28,91,91,121,121,40,38,0.95,30,116,5,0,0,0,0,0.0,0,16,16,16,16,1.0,7,3,9,7
TX-703,374,272,132,0.485,242,132,0,67,176,198,242,187,97,0.519,20,10,38,98,144,132,132,85,35,0.412,29,78,54,0,0,0,0,0.0,0,101,101,101,27,0.267,0,17,52,49
TX-704,371,239,239,1,252,119,0,42,165,206,252,175,175,1,0,515,28,107,145,119,119,64,64,1,14,58,61,0,0,0,0,0.0,0,41,41,41,41,1.0,32,0,0,41
UT-500,1627,1342,1279,0.953,824,754,49,250,789,838,824,666,621,0.932,452,105,87,276,548,754,754,627,609,0.971,163,513,241,49,49,49,49,1.0,49,1182,1182,1182,1039,0.879,421,165,476,706
UT-503,1114,635,492,0.775,497,617,0,197,754,360,497,271,211,0.779,0,78,71,311,186,617,617,364,281,0.772,126,443,174,0,0,0,0,0.0,0,124,124,124,83,0.669,79,4,11,113
UT-504,181,117,93,0.795,89,92,0,38,121,60,89,47,41,0.872,0,5,20,72,17,92,92,70,52,0.743,18,49,43,0,0,0,0,0.0,0,189,189,189,183,0.968,79,26,72,117
VA-500,896,849,660,0.777,282,593,21,78,277,619,282,235,235,1,105,102,21,91,191,593,593,593,404,0.681,57,186,407,21,21,21,21,1.0,21,439,439,439,393,0.895,80,69,222,217
VA-501,462,407,185,0.455,330,132,0,44,172,290,330,288,78,0.271,100,99,26,106,224,132,132,119,107,0.899,18,66,66,0,0,0,0,0.0,0,276,276,276,255,0.924,135,33,93,183
VA-502,821,743,229,0.308,384,272,165,43,187,634,384,306,118,0.386,0,5,27,129,255,272,272,272,111,0.408,16,58,214,165,165,165,0,0.0,165,81,81,81,79,0.975,19,10,25,56
VA-503,431,301,265,0.88,176,255,0,74,308,123,176,113,96,0.85,64,17,20,96,80,255,255,188,169,0.899,54,212,43,0,0,0,0,0.0,0,203,203,203,203,1.0,54,4,9,194
VA-504,179,153,131,0.856,103,76,0,18,58,121,103,77,73,0.948,60,10,0,0,103,76,76,76,58,0.763,18,58,18,0,0,0,0,0.0,0,103,103,103,103,1.0,33,0,0,103
VA-505,555,410,122,0.298,204,329,22,84,288,267,204,134,30,0.224,274,51,28,84,120,329,329,254,70,0.276,56,204,125,22,22,22,22,1.0,22,354,354,354,166,0.469,67,28,89,265
VA-507,143,101,101,1,72,71,0,30,111,32,72,30,30,1,60,0,17,62,10,71,71,71,71,1,13,49,22,0,0,0,0,0.0,0,89,89,89,64,0.719,44,5,10,79
VA-508,250,208,111,0.534,135,115,0,27,113,137,135,93,28,0.301,0,0,14,56,79,115,115,115,83,0.722,13,57,58,0,0,0,0,0.0,0,64,64,64,64,1.0,7,17,53,11
VA-509,80,80,80,1,58,22,0,19,19,61,58,58,58,1,0,27,19,19,39,22,22,22,22,1,0,0,22,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
VA-510,89,69,0,0,81,8,0,57,57,32,81,61,0,0,0,0,57,57,24,8,8,8,0,0,0,0,8,0,0,0,0,0.0,0,55,55,55,18,0.327,0,0,0,55
VA-512,38,38,38,1,10,28,0,9,35,3,10,10,10,1,0,0,3,10,0,28,28,28,28,1,6,25,3,0,0,0,0,0.0,0,6,6,6,6,1.0,2,0,0,6
VA-513,237,133,34,0.256,158,79,0,30,92,145,158,79,22,0.278,0,35,15,45,113,79,79,54,12,0.222,15,47,32,0,0,0,0,0.0,0,49,49,49,4,0.082,7,10,28,21
VA-514,137,114,112,0.982,105,32,0,32,87,50,105,82,80,0.976,50,0,19,55,50,32,32,32,32,1,13,32,0,0,0,0,0,0.0,0,10,10,10,0,0.0,10,0,0,10
VA-517,134,134,133,0.993,81,53,0,20,56,78,81,81,81,1,0,0,19,54,27,53,53,53,52,0.981,1,2,51,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
VA-518,170,154,154,1,136,34,0,22,115,55,136,120,120,1,20,0,17,88,48,34,34,34,34,1,5,27,7,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
VA-519,26,8,8,1,26,0,0,7,23,3,26,8,8,1,20,3,7,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,21,21,21,0,0.0,0,0,0,21
VA-521,860,590,543,0.92,451,409,0,202,696,164,451,230,207,0.9,15,5,89,326,125,409,409,360,336,0.933,113,370,39,0,0,0,0,0.0,0,12,12,12,12,1.0,12,0,0,12
VA-600,267,267,184,0.689,115,147,5,61,198,69,115,115,94,0.817,73,15,21,71,44,147,147,147,85,0.578,40,127,20,5,5,5,5,1.0,5,69,69,69,69,1.0,39,6,15,54
VA-601,1299,1146,963,0.84,363,928,8,300,986,313,363,329,321,0.976,208,63,70,203,160,928,928,809,634,0.784,230,783,145,8,8,8,8,1.0,8,280,280,280,265,0.946,98,7,34,246
VA-602,152,140,140,1,87,65,0,48,125,27,87,75,75,1,16,2,34,69,18,65,65,65,65,1,14,56,9,0,0,0,0,0.0,0,2,2,2,2,1.0,1,0,0,2
VA-603,344,344,327,0.951,192,152,0,57,200,144,192,192,175,0.911,67,0,28,104,88,152,152,152,152,1,29,96,56,0,0,0,0,0.0,0,33,33,33,33,1.0,25,3,8,25
VA-604,379,347,315,0.908,177,202,0,98,311,68,177,145,145,1,38,0,34,109,68,202,202,202,170,0.842,64,202,0,0,0,0,0,0.0,0,18,18,18,15,0.833,16,0,0,18
VI-500,148,116,75,0.647,61,87,0,8,29,119,61,29,29,1,15,0,7,25,36,87,87,87,46,0.529,1,4,83,0,0,0,0,0.0,0,43,43,43,43,1.0,24,3,6,37
VT-500,458,380,240,0.632,226,226,6,82,215,243,226,157,92,0.586,39,23,45,126,100,226,226,217,142,0.654,37,89,137,6,6,6,6,1.0,6,182,182,182,149,0.819,51,14,39,143
VT-501,328,288,164,0.569,169,159,0,70,174,154,169,155,135,0.871,5,1,29,88,81,159,159,133,29,0.218,41,86,73,0,0,0,0,0.0,0,139,139,139,95,0.683,61,3,5,134
WA-500,6730,6077,5112,0.841,2485,4200,45,1065,3914,2816,2485,2299,1951,0.849,329,40,210,804,1681,4200,4200,3733,3116,0.835,855,3110,1090,45,45,45,45,1.0,45,3382,3382,3382,2839,0.839,1233,219,716,2666
WA-501,5451,4565,3276,0.718,1758,3693,0,1234,3806,1645,1758,1232,796,0.646,320,195,286,1003,755,3693,3693,3333,2480,0.744,948,2803,890,0,0,0,0,0.0,0,1611,1611,1568,850,0.542,620,181,591,1020
WA-502,1320,1222,881,0.721,685,635,0,202,614,706,685,640,344,0.538,0,76,66,231,454,635,635,582,537,0.923,136,383,252,0,0,0,0,0.0,0,435,435,435,346,0.795,109,37,80,355
WA-503,1652,1420,1074,0.756,360,1292,0,475,1270,382,360,306,263,0.859,176,0,56,151,209,1292,1292,1114,811,0.728,419,1119,173,0,0,0,0,0.0,0,426,426,426,292,0.685,118,45,157,269
WA-504,1592,1511,1366,0.904,395,1197,0,406,1255,337,395,376,277,0.737,0,6,44,137,258,1197,1197,1135,1089,0.959,362,1118,79,0,0,0,0,0.0,0,967,967,967,702,0.726,223,185,588,379
WA-507,483,448,210,0.469,297,186,0,107,315,168,297,262,93,0.355,37,29,37,145,152,186,186,186,117,0.629,70,170,16,0,0,0,0,0.0,0,99,99,99,99,1.0,9,4,10,89
WA-508,843,815,684,0.839,164,668,11,157,495,348,164,136,114,0.838,74,26,26,62,102,668,668,668,559,0.837,131,433,235,11,11,11,11,1.0,11,679,679,679,510,0.751,131,132,358,321
WI-500,3763,2564,2064,0.805,1888,1868,7,835,2562,1201,1888,1149,865,0.753,186,353,345,1147,741,1868,1868,1408,1192,0.847,490,1415,453,7,7,7,7,1.0,7,334,334,334,283,0.847,27,37,112,222
WI-501,1497,1424,1340,0.941,722,732,43,211,690,807,722,659,643,0.976,0,30,85,284,438,732,732,722,654,0.906,126,406,326,43,43,43,43,1.0,43,864,864,864,864,1.0,93,75,214,650
WI-502,293,228,182,0.798,202,91,0,41,149,144,202,171,125,0.731,0,30,18,81,121,91,91,57,57,1,23,68,23,0,0,0,0,0.0,0,51,51,46,36,0.783,19,1,4,47
WI-503,455,455,448,0.985,180,261,14,75,259,196,180,180,180,1,0,14,32,135,45,261,261,261,254,0.973,43,124,137,14,14,14,14,1.0,14,790,790,790,641,0.811,77,139,451,339
WV-500,189,152,145,0.954,144,45,0,27,70,119,144,121,114,0.942,17,35,14,29,115,45,45,31,31,1,13,41,4,0,0,0,0,0.0,0,16,16,16,16,1.0,11,0,0,16
WV-501,323,302,302,1,213,98,12,45,174,149,213,192,192,1,0,0,21,95,118,98,98,98,98,1,24,79,19,12,12,12,12,1.0,12,272,272,272,249,0.915,58,27,57,215
WV-503,462,445,256,0.575,305,157,0,53,173,289,305,288,147,0.51,0,34,34,104,201,157,157,157,109,0.694,19,69,88,0,0,0,0,0.0,0,110,110,110,99,0.9,57,0,0,110
WV-508,1028,779,525,0.674,582,446,0,130,286,742,582,401,269,0.671,0,20,78,152,430,446,446,378,256,0.677,52,134,312,0,0,0,0,0.0,0,105,105,105,84,0.8,43,21,41,64
WY-500,904,626,255,0.407,558,346,0,149,430,474,558,308,113,0.367,0,97,88,259,299,346,346,318,142,0.447,61,171,175,0,0,0,0,0.0,0,123,123,123,8,0.065,13,0,0,123
Total,424432,370704,287730,,221610,200623,2199,68063,217462,206970,221610,186656,146704,,19668,32393,32878,107950,113660,200623,200623,181849,139053,,35185,109512,91111,2199,2199,2199,1973,,2199,236798,236798,234267,171472,,55256,33060,95353,141445
