CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
MS-500,585,502,356,0.709,215,370,0,26,248,337,0,215,175,164,0.937,0,17,6,111,104,0,370,370,327,192,0.587,20,137,233,0,0,0,0,0,0,0,0,207,207,207,207,1.0,0,0,0,207,0
MS-501,861,583,412,0.707,554,307,0,137,481,297,83,554,281,162,0.577,0,14,90,328,199,27,307,307,302,250,0.828,47,153,98,56,0,0,0,0,0,0,0,112,112,112,87,0.777,27,12,32,80,0
MS-503,96,51,51,1,83,13,0,21,48,48,0,83,38,38,1,0,0,20,45,38,0,13,13,13,13,1,1,3,10,.,0,0,0,0,0,0,0,39,39,39,39,1.0,26,3,8,31,0
MT-500,1411,1094,381,0.348,687,724,0,241,745,665,1,687,494,72,0.146,30,121,83,297,389,1,724,724,600,309,0.515,158,448,276,0,0,0,0,0,0,0,0,510,510,510,510,1.0,68,56,132,378,0
NC-500,533,498,350,0.703,327,206,0,63,209,324,0,327,298,221,0.742,12,47,21,77,250,0,206,206,200,129,0.645,42,132,74,0,0,0,0,0,0,0,0,397,397,397,291,0.733,110,61,186,211,0
NC-501,502,445,429,0.964,192,310,0,44,113,384,5,192,167,161,0.964,15,63,18,53,139,0,310,310,278,268,0.964,26,60,245,5,0,0,0,0,0,0,0,321,321,321,204,0.636,175,32,46,275,0
NC-502,710,682,339,0.497,329,381,0,52,176,534,0,329,311,161,0.518,0,15,21,75,254,0,381,381,371,178,0.48,31,101,280,0,0,0,0,0,0,0,0,171,171,171,162,0.947,44,19,65,106,0
NC-503,3200,2364,1560,0.66,2036,1164,0,373,1450,1739,11,2036,1250,861,0.689,134,51,207,879,1148,9,1164,1164,1114,699,0.627,166,571,591,2,0,0,0,0,0,0,0,925,925,925,878,0.949,149,183,499,426,0
NC-504,810,766,756,0.987,378,432,0,109,354,444,12,378,378,374,0.989,97,21,37,120,246,12,432,432,388,382,0.985,72,234,198,.,0,0,0,0,0,0,0,296,296,296,279,0.943,64,75,207,89,0
NC-505,2102,1991,1822,0.915,726,1376,0,294,1025,1068,9,726,690,669,0.97,198,0,34,102,615,9,1376,1376,1301,1153,0.886,260,923,453,0,0,0,0,0,0,0,0,574,574,574,574,1.0,317,75,203,371,0
NC-506,482,387,245,0.633,334,148,0,66,218,264,0,334,281,202,0.719,0,0,46,136,198,0,148,148,106,43,0.406,20,82,66,.,0,0,0,0,0,0,0,181,181,181,87,0.481,0,10,30,151,0
NC-507,966,927,843,0.909,505,461,0,109,294,666,6,505,466,460,0.987,0,0,43,147,352,6,461,461,461,383,0.831,66,147,314,.,0,0,0,0,0,0,0,887,887,887,680,0.767,96,144,368,519,0
NC-509,213,186,156,0.839,107,93,13,24,66,138,9,107,93,93,1,14,9,18,48,50,9,93,93,93,63,0.677,6,18,75,.,13,13,0,0,0,13,0,151,151,151,122,0.808,55,43,74,77,0
NC-511,316,269,225,0.836,131,185,0,55,192,124,0,131,117,93,0.795,0,10,9,33,98,0,185,185,152,132,0.868,46,159,26,0,0,0,0,0,0,0,0,154,154,154,154,1.0,0,34,118,36,0
NC-513,100,100,100,1,64,36,0,10,36,64,0,64,64,64,1,0,22,0,0,64,0,36,36,36,36,1,10,36,.,.,0,0,0,0,0,0,0,103,103,103,101,0.981,13,23,73,30,0
NC-516,137,63,53,0.841,104,33,0,25,57,80,0,104,34,24,0.706,2,13,21,41,63,0,33,33,29,29,1,4,16,17,0,0,0,0,0,0,0,0,38,38,32,32,1.0,0,4,10,28,0
ND-500,724,561,545,0.971,567,157,0,97,302,422,0,567,467,451,0.966,0,33,74,207,360,0,157,157,94,94,1,23,95,62,.,0,0,0,0,0,0,0,496,496,496,375,0.756,111,64,147,349,0
NE-500,991,708,542,0.766,473,518,0,224,641,324,26,473,246,105,0.427,0,4,96,293,154,26,518,518,462,437,0.946,128,348,170,0,0,0,0,0,0,0,0,219,219,219,58,0.265,14,35,74,145,0
NE-501,1597,1493,1436,0.962,888,709,0,187,620,965,12,888,825,814,0.987,0,284,75,275,601,12,709,709,668,622,0.931,112,345,364,0,0,0,0,0,0,0,0,538,538,538,331,0.615,126,72,245,293,0
NE-502,1079,894,751,0.84,327,752,0,160,609,432,38,327,277,277,1,0,95,3,165,146,16,752,752,617,474,0.768,157,444,286,22,0,0,0,0,0,0,0,65,65,65,65,1.0,11,4,8,57,0
NH-500,751,593,502,0.847,448,303,0,142,465,286,0,448,318,318,1,133,0,77,238,210,0,303,303,275,184,0.669,65,227,76,.,0,0,0,0,0,0,0,339,339,339,275,0.811,64,45,168,171,0
NH-501,350,332,332,1,158,188,4,75,187,160,3,158,140,140,1,0,13,22,58,97,3,188,188,188,188,1,53,129,59,.,4,4,4,4,1,4,0,319,319,319,200,0.627,29,71,200,119,0
NH-502,252,252,228,0.905,69,178,5,40,125,127,0,69,69,45,0.652,0,0,6,20,49,0,178,178,178,178,1,34,105,73,.,5,5,5,5,1,5,0,220,220,220,220,1.0,115,34,83,137,0
NJ-500,415,381,381,1,399,16,0,28,87,328,0,399,381,381,1,0,135,24,71,328,0,16,16,0,.,.,4,16,0,.,0,0,0,0,0,0,0,58,58,58,58,1.0,18,0,0,58,0
NJ-501,356,277,277,1,136,220,0,62,178,178,0,136,104,104,1,15,96,15,39,97,0,220,220,173,173,1,47,139,81,0,0,0,0,0,0,0,0,251,251,251,205,0.817,99,14,32,219,0
NJ-502,528,501,432,0.862,490,38,0,101,393,135,0,490,463,394,0.851,42,372,97,365,125,0,38,38,38,38,1,4,28,10,.,0,0,0,0,0,0,0,131,131,131,131,1.0,24,19,74,57,0
NJ-503,408,372,372,1,161,247,0,54,168,223,17,161,125,125,1,0,264,37,101,60,0,247,247,247,247,1,17,67,163,17,0,0,0,0,0,0,0,318,318,318,156,0.491,49,45,77,241,0
NJ-504,2123,2108,2108,1,1412,711,0,310,851,1272,0,1412,1412,1412,1,0,15,148,344,1068,0,711,711,696,696,1,162,507,204,.,0,0,0,0,0,0,0,867,867,867,867,1.0,190,105,319,548,0
NJ-505,150,76,66,0.868,108,42,0,47,102,44,4,108,42,38,0.905,0,57,32,68,36,4,42,42,34,28,0.824,15,34,8,.,0,0,0,0,0,0,0,45,45,45,45,1.0,4,5,10,35,0
NJ-506,528,462,445,0.963,279,249,0,94,260,266,2,279,255,255,1,0,1333,29,89,190,0,249,249,207,190,0.918,65,171,76,2,0,0,0,0,0,0,0,279,279,275,190,0.691,59,21,67,212,0
NJ-507,381,360,340,0.944,172,209,0,85,244,137,0,172,151,151,1,35,514,34,112,60,0,209,209,209,189,0.904,51,132,77,0,0,0,0,0,0,0,0,134,134,134,71,0.53,31,19,47,87,0
NJ-508,277,219,201,0.918,100,177,0,61,188,89,0,100,75,75,1,14,376,12,39,61,0,177,177,144,126,0.875,49,149,28,0,0,0,0,0,0,0,0,262,262,262,218,0.832,108,19,57,205,0
NJ-509,280,222,222,1,132,128,20,47,128,152,0,132,99,99,1,0,29,25,74,58,0,128,128,103,103,1,22,54,74,0,20,20,20,20,1,20,0,139,139,139,127,0.914,7,20,56,83,0
NJ-510,118,52,12,0.231,67,51,0,30,87,7,24,67,40,0,0,0,546,14,49,6,12,51,51,12,12,1,16,38,1,12,0,0,0,0,0,0,0,84,84,84,60,0.714,27,16,51,33,0
NJ-511,517,317,277,0.874,410,107,0,110,343,174,0,410,255,215,0.843,0,0,73,254,156,0,107,107,62,62,1,37,89,18,.,0,0,0,0,0,0,0,529,529,529,425,0.803,258,23,69,460,0
NJ-512,58,58,58,1,28,30,0,20,38,20,0,28,28,28,1,0,0,5,14,14,0,30,30,30,30,1,15,24,6,0,0,0,0,0,0,0,0,75,75,75,75,1.0,0,0,0,75,0
NJ-513,364,322,155,0.481,190,174,0,35,88,242,34,190,175,60,0.343,0,41,25,55,119,16,174,174,147,95,0.646,10,33,123,18,0,0,0,0,0,0,0,127,127,127,32,0.252,11,2,5,122,0
NJ-514,681,635,635,1,269,412,0,152,398,273,10,269,245,245,1,0,314,53,154,115,0,412,412,390,390,1,99,244,158,10,0,0,0,0,0,0,0,897,897,897,545,0.608,208,124,352,545,0
NJ-515,344,307,303,0.987,219,125,0,67,185,159,0,219,193,189,0.979,14,1121,28,70,149,0,125,125,114,114,1,39,115,10,.,0,0,0,0,0,0,0,319,319,289,289,1.0,37,50,145,174,0
NJ-516,218,93,70,0.753,159,59,0,74,209,9,0,159,84,70,0.833,0,100,53,151,8,0,59,59,9,0,0,21,58,1,0,0,0,0,0,0,0,0,60,60,51,37,0.725,23,7,18,42,0
NJ-518,50,14,0,0,14,36,0,11,50,0,0,14,14,0,0,0,207,5,14,0,0,36,36,0,.,.,6,36,0,0,0,0,0,0,0,0,0,36,36,36,21,0.583,20,6,14,22,0
NJ-520,86,86,61,0.709,81,5,0,14,42,44,0,81,81,56,0.691,0,10,11,37,44,0,5,5,5,5,1,3,5,.,.,0,0,0,0,0,0,0,5,5,5,5,1.0,5,0,0,5,0
NM-500,824,641,373,0.582,348,476,0,122,399,393,32,348,283,123,0.435,315,37,23,87,229,32,476,476,358,250,0.698,99,312,164,0,0,0,0,0,0,0,0,1004,1004,1004,605,0.603,298,159,416,588,0
NM-501,1721,1209,455,0.376,1070,651,0,196,959,722,40,1070,690,177,0.257,185,32,78,563,495,12,651,651,519,278,0.536,118,396,227,28,0,0,0,0,0,0,0,680,680,680,394,0.579,158,83,227,453,0
NV-500,3305,3049,2012,0.66,2074,1206,25,243,847,2377,81,2074,1818,859,0.472,173,110,120,490,1545,39,1206,1206,1206,1128,0.935,123,357,807,42,25,25,25,25,1,25,0,1804,1804,1804,942,0.522,682,121,383,1421,0
NV-501,983,931,566,0.608,549,434,0,68,234,749,0,549,518,466,0.9,0,0,45,165,384,0,434,434,413,100,0.242,23,69,365,0,0,0,0,0,0,0,0,527,527,527,255,0.484,82,33,90,437,0
NV-502,342,197,159,0.807,228,114,0,121,272,70,0,228,128,100,0.781,0,251,48,181,47,0,114,114,69,59,0.855,73,91,23,.,0,0,0,0,0,0,0,168,168,168,75,0.446,14,20,73,95,0
NY-500,771,733,656,0.895,501,258,12,154,390,345,36,501,463,386,0.834,7,17,82,237,246,18,258,258,258,258,1,72,153,87,18,12,12,12,12,1,12,0,1602,1602,1602,1494,0.933,101,535,873,729,0
NY-501,380,334,219,0.656,95,285,0,39,108,271,1,95,61,35,0.574,0,16,24,58,37,0,285,285,273,184,0.674,15,50,234,1,0,0,0,0,0,0,0,411,411,411,356,0.866,0,39,136,275,0
NY-502,77,68,39,0.574,52,25,0,18,43,34,0,52,43,30,0.698,0,0,11,18,34,0,25,25,25,9,0.36,7,25,0,0,0,0,0,0,0,0,0,38,38,38,38,1.0,5,8,21,17,0
NY-503,443,397,297,0.748,308,135,0,47,145,285,13,308,278,188,0.676,19,150,32,115,180,13,135,135,119,109,0.916,15,30,105,0,0,0,0,0,0,0,0,787,787,787,610,0.775,69,136,339,448,0
NY-504,41,33,30,0.909,24,17,0,16,33,8,0,24,16,13,0.813,0,9,8,18,6,0,17,17,17,17,1,8,15,2,.,0,0,0,0,0,0,0,51,51,51,46,0.902,2,9,15,36,0
NY-505,768,732,724,0.989,379,389,0,65,172,562,34,379,343,335,0.977,0,38,21,73,291,15,389,389,389,389,1,44,99,271,19,0,0,0,0,0,0,0,1066,1066,1066,1050,0.985,145,114,292,774,0
NY-506,30,0,0,.,30,0,0,6,20,10,0,30,0,0,0,15,47,6,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,0.0,0,0,0,31,0
NY-507,204,184,50,0.272,158,46,0,34,78,126,0,158,138,29,0.21,0,198,25,50,108,0,46,46,46,21,0.457,9,28,18,.,0,0,0,0,0,0,0,421,421,421,421,1.0,40,69,162,259,0
NY-508,987,869,637,0.733,565,406,16,148,470,502,15,565,535,335,0.626,0,0,52,193,359,13,406,406,318,286,0.899,96,277,127,2,16,16,16,16,1,16,0,942,942,942,726,0.771,83,88,227,715,0
NY-509,42,24,0,0,32,10,0,6,15,25,2,32,14,0,0,0,0,5,13,19,0,10,10,10,0,0,1,2,6,2,0,0,0,0,0,0,0,15,15,15,0,0.0,15,5,13,2,0
NY-510,58,49,49,1,22,36,0,13,31,27,0,22,13,13,1,0,2,5,9,13,0,36,36,36,36,1,8,22,14,.,0,0,0,0,0,0,0,57,57,57,57,1.0,26,6,22,35,0
NY-511,329,294,210,0.714,181,148,0,73,108,221,0,181,146,91,0.623,2,4,69,92,89,0,148,148,148,119,0.804,4,16,132,.,0,0,0,0,0,0,0,255,255,255,230,0.902,60,42,96,159,0
NY-512,119,92,92,1,83,36,0,31,72,47,0,83,65,65,1,10,71,17,41,42,0,36,36,27,27,1,14,31,5,0,0,0,0,0,0,0,0,535,535,508,497,0.978,46,94,296,239,0
NY-513,121,112,29,0.259,97,24,0,13,37,84,0,97,88,11,0.125,0,0,13,37,60,0,24,24,24,18,0.75,0,0,24,0,0,0,0,0,0,0,0,40,40,40,40,1.0,2,7,21,19,0
NY-514,80,74,38,0.514,54,26,0,14,45,35,0,54,48,26,0.542,0,0,9,26,28,0,26,26,26,12,0.462,5,19,7,.,0,0,0,0,0,0,0,37,37,37,37,1.0,0,8,21,16,0
NY-516,150,141,121,0.858,92,58,0,16,59,91,0,92,83,83,1,0,93,16,59,33,0,58,58,58,38,0.655,.,.,58,.,0,0,0,0,0,0,0,100,100,100,100,1.0,14,21,72,28,0
NY-517,92,83,50,0.602,24,68,0,16,56,36,0,24,15,0,0,0,1,1,7,17,0,68,68,68,50,0.735,15,49,19,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
NY-518,219,152,69,0.454,140,79,0,48,124,94,1,140,112,46,0.411,0,10,28,66,73,1,79,79,40,23,0.575,20,58,21,0,0,0,0,0,0,0,0,525,525,525,471,0.897,41,100,258,267,0
NY-519,37,0,0,.,25,12,0,14,37,0,0,25,0,0,0,0,115,10,25,0,0,12,12,0,.,.,4,12,0,.,0,0,0,0,0,0,0,46,46,37,36,0.973,7,10,24,22,0
NY-520,6,6,6,1,6,0,0,0,0,6,0,6,6,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
NY-522,88,51,0,0,46,42,0,3,37,51,0,46,9,0,0,0,13,3,37,9,0,42,42,42,0,0,.,.,42,.,0,0,0,0,0,0,0,112,112,112,112,1.0,3,9,21,91,0
NY-523,130,91,85,0.934,57,73,0,31,65,65,0,57,41,35,0.854,0,162,19,33,24,0,73,73,50,50,1,12,32,41,0,0,0,0,0,0,0,0,110,110,100,100,1.0,11,15,38,72,0
NY-524,230,188,0,0,88,142,0,29,75,143,12,88,61,0,0,0,0,19,49,27,12,142,142,127,0,0,10,26,116,0,0,0,0,0,0,0,0,192,192,192,0,0.0,0,30,76,116,0
NY-600,57922,54448,50686,0.931,48784,8999,139,11075,37227,20669,26,48784,46629,44508,0.955,0,165,10104,33989,14790,5,8999,8999,7680,6039,0.786,971,3238,5740,21,139,139,139,139,1,139,0,18599,18599,18221,10799,0.593,7857,1594,4764,13835,0
NY-601,466,387,297,0.767,264,202,0,142,287,179,0,264,220,138,0.627,0,10,95,178,86,0,202,202,167,159,0.952,47,109,93,.,0,0,0,0,0,0,0,173,173,173,117,0.676,20,33,76,97,0
NY-602,289,276,241,0.873,234,55,0,47,137,139,13,234,221,186,0.842,0,88,31,92,129,13,55,55,55,55,1,16,45,10,0,0,0,0,0,0,0,0,265,265,265,255,0.962,62,53,151,114,0
NY-603,2528,2416,1707,0.707,1743,785,0,567,1841,673,14,1743,1709,1085,0.635,102,892,450,1345,384,14,785,785,707,622,0.88,117,496,289,0,0,0,0,0,0,0,0,2188,2188,2164,1700,0.786,59,368,1244,944,0
NY-604,2128,2058,1859,0.903,730,1398,0,391,1345,783,0,730,681,506,0.743,21,0,93,186,544,0,1398,1398,1377,1353,0.983,298,1159,239,.,0,0,0,0,0,0,0,1304,1304,1304,888,0.681,131,198,560,744,0
NY-606,115,75,75,1,61,54,0,30,80,29,6,61,46,46,1,30,0,20,55,0,6,54,54,29,29,1,10,25,29,0,0,0,0,0,0,0,0,164,164,164,164,1.0,25,24,73,91,0
NY-607,19,10,10,1,10,0,9,0,0,19,0,10,10,10,1,0,381,0,0,10,0,0,0,0,0,0,0,0,0,0,9,9,0,.,.,9,.,54,54,54,54,1.0,12,9,18,36,0
NY-608,321,304,129,0.424,291,30,0,77,213,94,14,291,274,99,0.361,0,200,65,201,76,14,30,30,30,30,1,12,12,18,.,0,0,0,0,0,0,0,182,182,182,124,0.681,35,36,103,79,0
OH-500,1552,1385,1385,1,640,912,0,228,801,731,20,640,568,568,1,100,88,46,227,393,20,912,912,817,817,1,182,574,338,.,0,0,0,0,0,0,0,1851,1851,1851,1673,0.904,202,230,740,1111,0
OH-501,934,875,601,0.687,474,448,12,107,318,613,3,474,449,232,0.517,30,1,50,137,334,3,448,448,414,357,0.862,57,181,267,.,12,12,12,12,1,12,0,1037,1037,1037,903,0.871,266,191,484,553,0
OH-502,2164,2119,1657,0.782,960,1184,20,216,614,1542,8,960,915,697,0.762,0,19,100,276,676,8,1184,1184,1184,940,0.794,116,338,846,0,20,20,20,20,1,20,0,3649,3649,3649,3086,0.846,1263,616,1597,2052,0
OH-503,952,918,902,0.983,759,193,0,94,279,652,21,759,725,709,0.978,222,46,64,192,551,16,193,193,193,193,1,30,87,101,5,0,0,0,0,0,0,0,2021,2021,2021,1844,0.912,483,166,503,1518,0
OH-504,276,252,252,1,178,97,1,48,155,111,10,178,154,154,1,0,0,27,89,79,10,97,97,97,97,1,21,66,31,0,1,1,1,1,1,1,0,279,279,279,279,1.0,69,63,196,83,0
OH-505,962,905,679,0.75,480,457,25,183,493,469,0,480,430,405,0.942,0,60,74,184,296,0,457,457,450,249,0.553,109,309,148,.,25,25,25,25,1,25,0,892,892,892,892,1.0,167,131,317,575,0
OH-506,659,551,489,0.887,313,336,10,96,300,333,26,313,255,255,1,0,33,41,134,158,21,336,336,286,224,0.783,55,166,165,5,10,10,10,10,1,10,0,418,418,418,308,0.737,142,33,81,337,0
OH-507,4543,3835,3299,0.86,2094,2439,10,945,2883,1640,20,2094,1513,1198,0.792,140,125,342,1048,1026,20,2439,2439,2312,2091,0.904,603,1835,604,.,10,10,10,10,1,10,0,1996,1996,1996,1773,0.888,237,293,764,1232,0
OH-508,457,375,343,0.915,246,191,20,95,277,180,0,246,177,145,0.819,0,13,49,142,104,0,191,191,178,178,1,46,135,56,0,20,20,20,20,1,20,0,420,420,420,380,0.905,193,78,136,284,0
OK-500,301,201,143,0.711,208,93,0,53,133,105,63,208,140,82,0.586,0,5,26,80,65,63,93,93,61,61,1,27,53,40,0,0,0,0,0,0,0,0,2,2,2,2,1.0,2,0,0,2,0
OK-501,819,709,695,0.98,511,258,50,84,262,514,43,511,425,425,1,0,153,57,170,321,20,258,258,234,220,0.94,27,92,143,23,50,50,50,50,1,50,0,243,243,243,178,0.733,118,4,10,233,0
OK-502,1241,1140,947,0.831,975,266,0,90,306,917,18,975,920,804,0.874,0,32,57,187,770,18,266,266,220,143,0.65,33,119,147,.,0,0,0,0,0,0,0,603,603,588,392,0.667,154,50,178,425,0
OK-503,223,166,0,0,189,34,0,68,107,103,13,189,150,0,0,0,15,43,78,98,13,34,34,16,.,.,25,29,5,.,0,0,0,0,0,0,0,34,34,0,0,0.0,0,23,34,0,0
OK-504,201,187,161,0.861,46,155,0,61,147,54,0,46,32,32,1,20,38,8,25,21,0,155,155,155,129,0.832,53,122,33,.,0,0,0,0,0,0,0,41,41,41,35,0.854,4,9,20,21,0
OK-505,435,343,150,0.437,337,98,0,52,165,244,26,337,253,68,0.269,0,0,39,127,184,26,98,98,90,82,0.911,13,38,60,0,0,0,0,0,0,0,0,44,44,27,17,0.63,24,4,10,34,0
OK-506,336,277,155,0.56,217,110,9,30,149,153,34,217,158,98,0.62,0,12,19,108,99,10,110,110,110,57,0.518,11,41,45,24,9,9,9,0,0,9,0,0,0,0,0,0.0,0,0,0,0,0
OK-507,457,279,22,0.079,412,45,0,59,155,211,91,412,234,22,0.094,0,3,54,144,177,91,45,45,45,0,0,5,11,34,0,0,0,0,0,0,0,0,63,63,63,55,0.873,0,15,50,13,0
OR-500,726,705,325,0.461,463,263,0,93,297,419,10,463,442,62,0.14,35,242,20,100,353,10,263,263,263,263,1,73,197,66,.,0,0,0,0,0,0,0,300,300,300,190,0.633,81,18,65,235,0
OR-501,2588,2256,1910,0.847,595,1993,0,445,1303,1270,15,595,476,301,0.632,255,112,47,163,418,14,1993,1993,1780,1609,0.904,398,1140,852,1,0,0,0,0,0,0,0,3189,3189,3176,2301,0.724,862,288,879,2309,1
OR-502,566,532,162,0.305,243,323,0,87,198,368,0,243,209,0,0,12,0,29,79,164,0,323,323,323,162,0.502,58,119,204,.,0,0,0,0,0,0,0,804,804,804,337,0.419,138,124,373,431,0
OR-503,338,314,207,0.659,139,199,0,55,188,115,35,139,115,79,0.687,19,17,18,58,63,18,199,199,199,128,0.643,37,130,52,17,0,0,0,0,0,0,0,73,73,73,0,0.0,73,22,35,38,0
OR-505,2566,2351,808,0.344,1099,1462,5,463,1200,1329,37,1099,904,132,0.146,71,96,179,402,672,25,1462,1462,1442,671,0.465,284,798,652,12,5,5,5,5,1,5,0,663,663,663,372,0.561,124,123,348,315,0
OR-506,329,303,291,0.96,98,221,10,81,238,87,4,98,72,72,1,5,0,22,89,5,4,221,221,221,209,0.946,59,149,72,0,10,10,10,10,1,10,0,391,391,391,391,1.0,73,48,163,228,0
OR-507,136,105,105,1,34,102,0,48,118,18,0,34,16,16,1,0,0,9,30,4,0,102,102,89,89,1,39,88,14,.,0,0,0,0,0,0,0,255,255,248,248,1.0,15,44,152,103,0
PA-500,5750,5598,4682,0.836,3387,2293,70,938,3166,2564,20,3387,3287,2615,0.796,312,59,446,1496,1871,20,2293,2293,2241,1997,0.891,492,1670,623,.,70,70,70,70,1,70,0,4840,4840,4840,4504,0.931,1034,878,2904,1933,3
PA-501,398,372,329,0.884,197,176,25,71,203,195,0,197,179,164,0.916,32,23,28,82,115,0,176,176,168,140,0.833,43,121,55,.,25,25,25,25,1,25,0,145,145,145,93,0.641,30,15,47,98,0
PA-502,606,555,502,0.905,330,276,0,127,388,218,0,330,307,271,0.883,0,74,57,159,171,0,276,276,248,231,0.931,70,229,47,0,0,0,0,0,0,0,0,338,338,338,328,0.97,33,41,138,200,0
PA-503,235,188,173,0.92,102,133,0,30,89,140,6,102,80,80,1,0,105,8,24,72,6,133,133,108,93,0.861,22,65,68,0,0,0,0,0,0,0,0,316,316,316,223,0.706,32,59,176,140,0
PA-504,429,317,305,0.962,192,237,0,91,315,114,0,192,165,153,0.927,50,30,25,111,81,0,237,237,152,152,1,66,204,33,0,0,0,0,0,0,0,0,190,190,190,190,1.0,58,20,63,127,0
PA-505,835,731,638,0.873,348,479,8,90,295,540,0,348,323,281,0.87,47,0,16,59,289,0,479,479,400,349,0.873,74,236,243,0,8,8,8,8,1,8,0,332,332,332,321,0.967,157,29,55,277,0
PA-506,473,395,335,0.848,188,285,0,73,244,229,0,188,162,102,0.63,40,0,15,65,123,0,285,285,233,233,1,58,179,106,.,0,0,0,0,0,0,0,335,335,335,295,0.881,84,56,135,200,0
PA-507,1264,901,695,0.771,651,613,0,252,838,416,10,651,383,260,0.679,41,6,116,406,235,10,613,613,518,435,0.84,136,432,181,0,0,0,0,0,0,0,0,574,574,574,348,0.606,72,51,165,409,0
PA-508,245,224,224,1,56,185,4,57,159,86,0,56,44,44,1,0,7,10,26,30,0,185,185,176,176,1,47,133,52,0,4,4,4,4,1,4,0,51,51,51,51,1.0,51,0,0,51,0
PA-509,948,823,590,0.717,417,531,0,203,676,255,17,417,313,259,0.827,21,4,63,257,148,12,531,531,510,331,0.649,140,419,107,5,0,0,0,0,0,0,0,423,423,423,382,0.903,77,54,148,275,0
PA-510,641,580,571,0.984,237,404,0,122,356,285,0,237,199,199,1,45,0,34,105,132,0,404,404,381,372,0.976,88,251,153,.,0,0,0,0,0,0,0,170,170,170,125,0.735,33,20,55,115,0
PA-511,439,420,403,0.96,101,338,0,122,359,76,4,101,85,85,1,50,1,26,74,23,4,338,338,335,318,0.949,96,285,53,.,0,0,0,0,0,0,0,64,64,64,56,0.875,22,6,20,44,0
PA-512,394,287,287,1,213,181,0,51,219,175,0,213,168,168,1,0,8,26,115,98,0,181,181,119,119,1,25,104,77,0,0,0,0,0,0,0,0,177,177,177,177,1.0,16,5,13,164,0
PA-600,1479,1346,1113,0.827,413,996,70,256,678,801,0,413,331,232,0.701,108,12,49,130,283,0,996,996,945,811,0.858,207,548,448,0,70,70,70,70,1,70,0,1489,1489,1489,1261,0.847,455,345,1013,476,0
PA-601,791,642,576,0.897,362,397,32,124,420,357,14,362,266,210,0.789,0,13,48,179,183,0,397,397,344,334,0.971,76,241,142,14,32,32,32,32,1,32,0,444,444,389,299,0.769,64,69,195,249,0
PA-602,525,331,129,0.39,316,209,0,89,261,264,0,316,187,40,0.214,0,9,45,143,173,0,209,209,144,89,0.618,44,118,91,0,0,0,0,0,0,0,0,425,425,398,361,0.907,55,55,157,268,0
PA-603,130,95,95,1,43,87,0,18,60,70,0,43,18,18,1,10,0,9,31,12,0,87,87,77,77,1,9,29,58,0,0,0,0,0,0,0,0,141,141,141,141,1.0,5,17,48,93,0
PA-605,468,355,350,0.986,272,196,0,90,265,203,0,272,187,187,1,0,5,34,136,136,0,196,196,168,163,0.97,56,129,67,0,0,0,0,0,0,0,0,403,403,403,379,0.94,95,53,135,268,0
PR-502,1479,1126,878,0.78,342,1115,22,116,376,1103,0,342,218,190,0.872,0,0,35,79,263,0,1115,1115,886,666,0.752,81,297,818,.,22,22,22,22,1,22,0,1154,1154,1149,1084,0.943,541,155,362,792,0
